airport,category,number,percentage,year
APF,nonhub,541,6.625142575272519e-05,2007
EWN,nonhub,3614,0.0004425742193536947,2007
TUP,nonhub,1643,0.0002012034981732486,2007
PIB,nonhub,738,9.037625176619443e-05,2007
HOT,nonhub,1327,0.00016250580771509486,2007
SGU,nonhub,3987,0.0004882521894198065,2007
HVN,nonhub,1788,0.00021896034980752797,2007
ART,nonhub,1813,0.00022202187595136925,2007
STC,nonhub,1597,0.00019557029006858065,2007
IMT,nonhub,1514,0.0001854060232710276,2007
SBY,nonhub,3542,0.0004337570240594318,2007
IPT,nonhub,1804,0.0002209197265395864,2007
ATY,nonhub,1326,0.0001623833466693412,2007
BJI,nonhub,1297,0.00015883197634248533,2007
OXR,nonhub,1336,0.00016360795712687772,2007
WFB,nonhub,5058,0.0006194079694219667,2007
JNU,nonhub,3646,0.00044649297281781154,2007
ADQ,nonhub,3316,0.0004060808277191067,2007
ALW,nonhub,1016,0.0001244204224857094,2007
ESC,nonhub,1214,0.0001486677095449323,2007
MHK,nonhub,1833,0.00021590670568771055,2005
LMT,nonhub,1734,0.00020424562338379167,2005
EAT,nonhub,2049,0.00024134906707807906,2005
YKM,nonhub,2694,0.00031732278511876284,2005
EKO,nonhub,3018,0.0003554863272043156,2005
RDD,nonhub,3518,0.00041438068227461305,2005
LWS,nonhub,3386,0.00039883257253605454,2005
CLM,nonhub,3698,0.00043558265009992014,2005
ACV,nonhub,4886,0.000575515637746947,2005
PUW,nonhub,1785,0.000210252847600962,2005
BFI,nonhub,3802,0.000447832675954542,2005
GGG,nonhub,1106,0.00013027431341549803,2005
GTF,nonhub,8063,0.0009497303698636171,2005
CPR,nonhub,3857,0.0004543110550122748,2005
RDM,nonhub,7414,0.0008732854969823711,2005
CIC,nonhub,1485,0.0001749162345587835,2005
FSM,nonhub,3165,0.00037280126759498303,2005
DLH,nonhub,3182,0.0003748036756673732,2005
CEC,nonhub,1261,0.00014853156348729025,2005
DRO,nonhub,1845,0.0002173201702093977,2005
DBQ,nonhub,1361,0.00016031043450134974,2005
HLN,nonhub,4798,0.0005651502312545746,2005
ACT,nonhub,3728,0.000439116311404138,2005
BTM,nonhub,1976,0.00023275049123781564,2005
PIA,nonhub,8342,0.0009825934199928432,2005
CWA,nonhub,6714,0.0007908333998839545,2005
GJT,nonhub,3838,0.00045207306951960345,2005
SPS,nonhub,2670,0.00031449585607538856,2005
ABR,nonhub,3047,0.00035890219979839286,2005
BRD,nonhub,1474,0.00017362055874723696,2005
ROW,nonhub,2271,0.00026749816072929117,2005
BIS,nonhub,2655,0.0003127290254232796,2005
MSO,nonhub,6106,0.0007192178641184728,2005
LNK,nonhub,4328,0.000509789537488495,2005
ALO,nonhub,1770,0.00020848601694885307,2005
RFD,nonhub,5827,0.0006863548139892468,2005
LSE,nonhub,4180,0.000492356808387687,2005
FCA,nonhub,6011,0.0007080279366551163,2005
BLI,nonhub,3733,0.00043970525495484096,2005
EAU,nonhub,1630,0.0001919955975291698,2005
MCW,nonhub,1903,0.0002241519153975522,2005
RAP,nonhub,3729,0.0004392341001142786,2005
GFK,nonhub,4262,0.0005020154826192157,2005
BFL,nonhub,5565,0.000655494171932411,2005
FSD,nonhub,9113,0.0010734085155112419,2005
SUX,nonhub,2175,0.00025619044455579403,2005
IDA,nonhub,4734,0.0005576117538055765,2005
SPI,nonhub,3470,0.00040872682418786454,2005
DEC,nonhub,1172,0.00013804836828477728,2005
BZN,nonhub,5538,0.0006523138767586149,2005
MLU,nonhub,3901,0.00045949375825846096,2005
YUM,nonhub,3966,0.0004671500244175996,2005
MOT,nonhub,1461,0.00017208930551540925,2005
GYY,nonhub,323,3.804575337541217e-05,2005
FAR,nonhub,4412,0.0005196837891403049,2005
RST,nonhub,6252,0.0007364150157989997,2005
EVV,nonhub,8882,0.0010461993234687644,2005
MOD,nonhub,1339,0.00015771908287825665,2005
CMI,nonhub,5236,0.0006167416862961552,2005
BMI,nonhub,5998,0.0007064966834232886,2005
TWF,nonhub,2629,0.00030966651895962413,2005
LRD,nonhub,4296,0.000506020298763996,2005
MTJ,nonhub,590,6.949533898295103e-05,2005
CLL,nonhub,4329,0.0005099073261986356,2005
ABI,nonhub,4019,0.00047339282605505113,2005
JAC,nonhub,3286,0.00038705370152199506,2005
AZO,nonhub,7663,0.0009026148858073792,2005
BPT,nonhub,2273,0.00026773373814957237,2005
PIH,nonhub,2811,0.0003311040642052124,2005
LAW,nonhub,2255,0.00026561354136704163,2005
TOL,nonhub,11999,0.001413346732976999,2005
BRO,nonhub,1874,0.00022073604280347495,2005
