id,airport,type,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
160,BOS,origin,42.3643475,-71.00517917,1910,,1,0
160,CLT,dest,35.21401111,-80.94312583,1910,,1,0
161,CLT,origin,35.21401111,-80.94312583,709,706,0,0
161,PIT,dest,40.49146583,-80.23287083,709,706,0,0
162,PHL,origin,39.87195278,-75.24114083,1735,,1,0
162,MSP,dest,44.88054694,-93.2169225,1635,,1,0
163,PVD,origin,41.72399917,-71.42822111,1509,,1,0
163,PIT,dest,40.49146583,-80.23287083,1509,,1,0
164,PHL,origin,39.87195278,-75.24114083,1950,,1,0
164,TPA,dest,27.97547222,-82.53325,1950,,1,0
165,RIC,origin,37.50516667,-77.31966667,1725,,1,0
165,PHL,dest,39.87195278,-75.24114083,1725,,1,0
166,CLT,origin,35.21401111,-80.94312583,940,,1,0
166,GSO,dest,36.09774694,-79.9372975,940,,1,0
167,CLT,origin,35.21401111,-80.94312583,809,805,0,0
167,MCO,dest,28.42888889,-81.31602778,809,805,0,0
168,GSO,origin,36.09774694,-79.9372975,640,634,0,0
168,LGA,dest,40.77724306,-73.87260917,640,634,0,0
169,LGA,origin,40.77724306,-73.87260917,856,,1,0
169,BUF,dest,42.94052472,-78.73216667,856,,1,0
170,PIT,origin,40.49146583,-80.23287083,1855,,1,0
170,LAS,dest,36.08036111,-115.1523333,1555,,1,0
171,LAS,origin,36.08036111,-115.1523333,1905,,1,0
171,CLT,dest,35.21401111,-80.94312583,2205,,1,0
172,BDL,origin,41.93887417,-72.68322833,900,,1,0
172,PIT,dest,40.49146583,-80.23287083,900,,1,0
173,PIT,origin,40.49146583,-80.23287083,1130,,1,0
173,LAS,dest,36.08036111,-115.1523333,830,,1,0
174,LAS,origin,36.08036111,-115.1523333,1106,,1,0
174,PIT,dest,40.49146583,-80.23287083,1406,,1,0
175,PIT,origin,40.49146583,-80.23287083,2214,,1,0
175,LGA,dest,40.77724306,-73.87260917,2214,,1,0
176,CLT,origin,35.21401111,-80.94312583,2230,,1,0
176,LAS,dest,36.08036111,-115.1523333,1930,,1,0
177,MCO,origin,28.42888889,-81.31602778,1955,,1,0
177,CLT,dest,35.21401111,-80.94312583,1955,,1,0
178,BWI,origin,39.17540167,-76.66819833,1955,,1,0
178,PHL,dest,39.87195278,-75.24114083,1955,,1,0
179,PHL,origin,39.87195278,-75.24114083,2144,,1,0
179,LAS,dest,36.08036111,-115.1523333,1844,,1,0
180,GSO,origin,36.09774694,-79.9372975,1825,,1,0
180,PIT,dest,40.49146583,-80.23287083,1825,,1,0
181,CLT,origin,35.21401111,-80.94312583,1919,,1,0
181,LAS,dest,36.08036111,-115.1523333,1619,,1,0
182,MIA,origin,25.79325,-80.29055556,1619,,1,0
182,CLT,dest,35.21401111,-80.94312583,1619,,1,0
183,CLT,origin,35.21401111,-80.94312583,805,804,0,1
183,LAS,dest,36.08036111,-115.1523333,505,804,0,1
184,LAS,origin,36.08036111,-115.1523333,740,,1,0
184,CLT,dest,35.21401111,-80.94312583,1040,,1,0
185,LAS,origin,36.08036111,-115.1523333,944,,1,0
185,PHL,dest,39.87195278,-75.24114083,1244,,1,0
186,PHL,origin,39.87195278,-75.24114083,1950,,1,0
186,LAS,dest,36.08036111,-115.1523333,1650,,1,0
187,RDU,origin,35.87763889,-78.78747222,1739,,1,0
187,PHL,dest,39.87195278,-75.24114083,1739,,1,0
188,LAS,origin,36.08036111,-115.1523333,-210,105,0,0
188,PIT,dest,40.49146583,-80.23287083,110,105,0,0
189,IND,origin,39.71732917,-86.29438417,1231,,1,0
189,PIT,dest,40.49146583,-80.23287083,1231,,1,0
190,PIT,origin,40.49146583,-80.23287083,1535,,1,0
190,BOS,dest,42.3643475,-71.00517917,1535,,1,0
191,LAS,origin,36.08036111,-115.1523333,2044,,1,0
191,CLT,dest,35.21401111,-80.94312583,2344,,1,0
192,CLT,origin,35.21401111,-80.94312583,1650,,1,0
192,PIT,dest,40.49146583,-80.23287083,1650,,1,0
193,FLL,origin,26.07258333,-80.15275,1400,,1,0
193,CLT,dest,35.21401111,-80.94312583,1400,,1,0
194,PIT,origin,40.49146583,-80.23287083,1614,,1,0
194,BDL,dest,41.93887417,-72.68322833,1614,,1,0
195,PHL,origin,39.87195278,-75.24114083,825,,1,0
195,LAS,dest,36.08036111,-115.1523333,525,,1,0
196,PIT,origin,40.49146583,-80.23287083,2100,,1,0
196,LAS,dest,36.08036111,-115.1523333,1800,,1,0
197,LAS,origin,36.08036111,-115.1523333,-200,50,0,0
197,PHL,dest,39.87195278,-75.24114083,100,50,0,0
198,PHL,origin,39.87195278,-75.24114083,950,,1,0
198,BDL,dest,41.93887417,-72.68322833,950,,1,0
199,PHL,origin,39.87195278,-75.24114083,1544,,1,0
199,BUF,dest,42.94052472,-78.73216667,1544,,1,0
200,LAS,origin,36.08036111,-115.1523333,1900,,1,0
200,PIT,dest,40.49146583,-80.23287083,2200,,1,0
201,CLT,origin,35.21401111,-80.94312583,1330,,1,0
201,ORD,dest,41.979595,-87.90446417,1230,,1,0
202,LGA,origin,40.77724306,-73.87260917,725,721,0,0
202,PHL,dest,39.87195278,-75.24114083,725,721,0,0
203,PHL,origin,39.87195278,-75.24114083,2150,,1,0
203,LGA,dest,40.77724306,-73.87260917,2150,,1,0
204,EWR,origin,40.69249722,-74.16866056,1450,,1,0
204,PIT,dest,40.49146583,-80.23287083,1450,,1,0
205,CLT,origin,35.21401111,-80.94312583,1330,,1,0
205,BOS,dest,42.3643475,-71.00517917,1330,,1,0
206,IND,origin,39.71732917,-86.29438417,540,533,0,0
206,DCA,dest,38.85208333,-77.03772222,540,533,0,0
207,TPA,origin,27.97547222,-82.53325,1144,,1,0
207,CLT,dest,35.21401111,-80.94312583,1144,,1,0
208,DCA,origin,38.85208333,-77.03772222,857,851,0,0
208,CLT,dest,35.21401111,-80.94312583,857,851,0,0
209,PHL,origin,39.87195278,-75.24114083,2150,,1,0
209,ALB,dest,42.74811944,-73.80297861,2150,,1,0
210,ABE,origin,40.65236278,-75.44040167,630,625,0,0
210,MCO,dest,28.42888889,-81.31602778,630,625,0,0
211,MCO,origin,28.42888889,-81.31602778,2119,,1,0
211,ABE,dest,40.65236278,-75.44040167,2119,,1,0
212,BOS,origin,42.3643475,-71.00517917,1144,,1,0
212,PHL,dest,39.87195278,-75.24114083,1144,,1,0
213,PHL,origin,39.87195278,-75.24114083,1400,,1,0
213,IAH,dest,29.98047222,-95.33972222,1300,,1,0
214,DCA,origin,38.85208333,-77.03772222,1319,,1,0
214,CLT,dest,35.21401111,-80.94312583,1319,,1,0
215,PWM,origin,43.64616667,-70.30875,555,547,0,0
215,PHL,dest,39.87195278,-75.24114083,555,547,0,0
