id,airport,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
156,"BOS",42.3643475,-71.00517917,"1830","",1.00,0.00
157,"BNA",36.12447667,-86.67818222,"1255","",1.00,0.00
157,"PIT",40.49146583,-80.23287083,"1255","",1.00,0.00
158,"CLT",35.21401111,-80.94312583,"1740","",1.00,0.00
158,"ILM",34.27061111,-77.90255556,"1740","",1.00,0.00
159,"GSP",34.89566722,-82.21885833,"1626","",1.00,0.00
159,"CLT",35.21401111,-80.94312583,"1626","",1.00,0.00
160,"BOS",42.3643475,-71.00517917,"1715","",1.00,0.00
160,"CLT",35.21401111,-80.94312583,"1715","",1.00,0.00
161,"CLT",35.21401111,-80.94312583,"2050","",1.00,0.00
161,"PBI",26.68316194,-80.09559417,"2050","",1.00,0.00
162,"TPA",27.97547222,-82.53325,"1315","",1.00,0.00
162,"CLT",35.21401111,-80.94312583,"1315","",1.00,0.00
163,"HPN",41.06695778,-73.70757444,"0659","0653",0.00,0.00
163,"PIT",40.49146583,-80.23287083,"0659","0653",0.00,0.00
164,"PIT",40.49146583,-80.23287083,"0920","",1.00,0.00
164,"MKE",42.94722222,-87.89658333,"0920","",1.00,0.00
165,"CLT",35.21401111,-80.94312583,"1330","",1.00,0.00
165,"ATL",33.64044444,-84.42694444,"1330","",1.00,0.00
166,"CLT",35.21401111,-80.94312583,"1335","",1.00,0.00
166,"MYR",33.67975,-78.92833333,"1335","",1.00,0.00
167,"LGA",40.77724306,-73.87260917,"1025","",1.00,0.00
167,"CLT",35.21401111,-80.94312583,"1025","",1.00,0.00
168,"PIT",40.49146583,-80.23287083,"1625","",1.00,0.00
168,"BOS",42.3643475,-71.00517917,"1625","",1.00,0.00
169,"RSW",26.53616667,-81.75516667,"1255","",1.00,0.00
169,"PIT",40.49146583,-80.23287083,"1255","",1.00,0.00
170,"GSO",36.09774694,-79.9372975,"1820","",1.00,0.00
170,"LGA",40.77724306,-73.87260917,"1820","",1.00,0.00
171,"LGA",40.77724306,-73.87260917,"2045","",1.00,0.00
171,"BUF",42.94052472,-78.73216667,"2045","",1.00,0.00
172,"ALB",42.74811944,-73.80297861,"0810","0805",0.00,0.00
172,"CLT",35.21401111,-80.94312583,"0810","0805",0.00,0.00
173,"CLT",35.21401111,-80.94312583,"1055","",1.00,0.00
173,"ATL",33.64044444,-84.42694444,"1055","",1.00,0.00
174,"ORF",36.89461111,-76.20122222,"0615","0613",0.00,0.00
174,"LGA",40.77724306,-73.87260917,"0615","0613",0.00,0.00
175,"CLT",35.21401111,-80.94312583,"1515","",1.00,0.00
175,"RIC",37.50516667,-77.31966667,"1515","",1.00,0.00
176,"MSP",44.88054694,-93.2169225,"1114","",1.00,0.00
176,"CLT",35.21401111,-80.94312583,"1114","",1.00,0.00
177,"IAH",29.98047222,-95.33972222,"0740","0736",0.00,1.00
177,"CLT",35.21401111,-80.94312583,"0740","0736",0.00,1.00
178,"CLT",35.21401111,-80.94312583,"1600","",1.00,0.00
178,"IAD",38.94453194,-77.45580972,"1600","",1.00,0.00
179,"SRQ",27.39533333,-82.55411111,"1330","",1.00,0.00
179,"CLT",35.21401111,-80.94312583,"1330","",1.00,0.00
180,"PHL",39.87195278,-75.24114083,"1735","",1.00,0.00
180,"DCA",38.85208333,-77.03772222,"1735","",1.00,0.00
181,"BOS",42.3643475,-71.00517917,"1911","",1.00,0.00
181,"CLT",35.21401111,-80.94312583,"1911","",1.00,0.00
182,"CLT",35.21401111,-80.94312583,"0710","0706",0.00,0.00
182,"PIT",40.49146583,-80.23287083,"0710","0706",0.00,0.00
183,"PHL",39.87195278,-75.24114083,"1735","",1.00,0.00
183,"MSP",44.88054694,-93.2169225,"1735","",1.00,0.00
184,"PVD",41.72399917,-71.42822111,"1510","",1.00,0.00
184,"PIT",40.49146583,-80.23287083,"1510","",1.00,0.00
185,"PHL",39.87195278,-75.24114083,"1950","",1.00,0.00
185,"TPA",27.97547222,-82.53325,"1950","",1.00,0.00
186,"RIC",37.50516667,-77.31966667,"1725","",1.00,0.00
186,"PHL",39.87195278,-75.24114083,"1725","",1.00,0.00
187,"CLT",35.21401111,-80.94312583,"0940","",1.00,0.00
187,"GSO",36.09774694,-79.9372975,"0940","",1.00,0.00
188,"CLT",35.21401111,-80.94312583,"0810","0805",0.00,0.00
188,"MCO",28.42888889,-81.31602778,"0810","0805",0.00,0.00
189,"GSO",36.09774694,-79.9372975,"0640","0634",0.00,0.00
189,"LGA",40.77724306,-73.87260917,"0640","0634",0.00,0.00
190,"LGA",40.77724306,-73.87260917,"0856","",1.00,0.00
190,"BUF",42.94052472,-78.73216667,"0856","",1.00,0.00
191,"PIT",40.49146583,-80.23287083,"1855","",1.00,0.00
191,"LAS",36.08036111,-115.1523333,"1855","",1.00,0.00
192,"LAS",36.08036111,-115.1523333,"2205","",1.00,0.00
192,"CLT",35.21401111,-80.94312583,"2205","",1.00,0.00
193,"BDL",41.93887417,-72.68322833,"0900","",1.00,0.00
193,"PIT",40.49146583,-80.23287083,"0900","",1.00,0.00
194,"PIT",40.49146583,-80.23287083,"1130","",1.00,0.00
194,"LAS",36.08036111,-115.1523333,"1130","",1.00,0.00
195,"LAS",36.08036111,-115.1523333,"1406","",1.00,0.00
195,"PIT",40.49146583,-80.23287083,"1406","",1.00,0.00
196,"PIT",40.49146583,-80.23287083,"2215","",1.00,0.00
196,"LGA",40.77724306,-73.87260917,"2215","",1.00,0.00
197,"CLT",35.21401111,-80.94312583,"2230","",1.00,0.00
197,"LAS",36.08036111,-115.1523333,"2230","",1.00,0.00
198,"MCO",28.42888889,-81.31602778,"1955","",1.00,0.00
198,"CLT",35.21401111,-80.94312583,"1955","",1.00,0.00
199,"BWI",39.17540167,-76.66819833,"1955","",1.00,0.00
199,"PHL",39.87195278,-75.24114083,"1955","",1.00,0.00
200,"PHL",39.87195278,-75.24114083,"2145","",1.00,0.00
200,"LAS",36.08036111,-115.1523333,"2145","",1.00,0.00
201,"GSO",36.09774694,-79.9372975,"1825","",1.00,0.00
201,"PIT",40.49146583,-80.23287083,"1825","",1.00,0.00
202,"CLT",35.21401111,-80.94312583,"1920","",1.00,0.00
202,"LAS",36.08036111,-115.1523333,"1920","",1.00,0.00
203,"MIA",25.79325,-80.29055556,"1620","",1.00,0.00
203,"CLT",35.21401111,-80.94312583,"1620","",1.00,0.00
204,"CLT",35.21401111,-80.94312583,"0805","0804",0.00,1.00
204,"LAS",36.08036111,-115.1523333,"0805","0804",0.00,1.00
205,"LAS",36.08036111,-115.1523333,"1040","",1.00,0.00
205,"CLT",35.21401111,-80.94312583,"1040","",1.00,0.00
206,"LAS",36.08036111,-115.1523333,"1245","",1.00,0.00
